label	x	y	z
AF1	-0.1859	0.9158	0.3559
AF10	0.5481	0.7544	-0.3612
AF10h	0.5778	0.7953	-0.1837
AF1h	-0.0940	0.9219	0.3759
AF2	0.1859	0.9158	0.3559
AF2h	0.0940	0.9219	0.3759
AF3	-0.3554	0.8924	0.2779
AF3h	-0.2737	0.9060	0.3230
AF4	0.3554	0.8924	0.2779
AF4h	0.2737	0.9060	0.3230
AF5	-0.4934	0.8557	0.1557
AF5h	-0.4292	0.8756	0.2218
AF6	0.4934	0.8557	0.1557
AF6h	0.4292	0.8756	0.2218
AF7	-0.5878	0.8090	0.0000
AF7h	-0.5467	0.8334	0.0812
AF8	0.5878	0.8090	0.0000
AF8h	0.5467	0.8334	0.0812
AF9	-0.5481	0.7544	-0.3612
AF9h	-0.5778	0.7953	-0.1837
AFF1	-0.2406	0.8225	0.5154
AFF10	0.6594	0.6594	-0.3612
AFF10h	0.6951	0.6951	-0.1837
AFF1h	-0.1221	0.8292	0.5454
AFF2	0.2406	0.8225	0.5154
AFF2h	0.1221	0.8292	0.5454
AFF3	-0.4539	0.7965	0.3994
AFF3h	-0.3523	0.8115	0.4662
AFF4	0.4539	0.7965	0.3994
AFF4h	0.3523	0.8115	0.4662
AFF5	-0.6155	0.7565	0.2208
AFF5h	-0.5425	0.7780	0.3168
AFF6	0.6155	0.7565	0.2208
AFF6h	0.5425	0.7780	0.3168
AFF7	-0.7071	0.7071	0.0000
AFF7h	-0.6709	0.7327	0.1142
AFF8	0.7071	0.7071	0.0000
AFF8h	0.6709	0.7327	0.1142
AFF9	-0.6594	0.6594	-0.3612
AFF9h	-0.6951	0.6951	-0.1837
AFFz	0.0000	0.8315	0.5556
AFp1	-0.1287	0.9748	0.1821
AFp10	0.4233	0.8309	-0.3612
AFp10h	0.4463	0.8759	-0.1837
AFp1h	-0.0647	0.9793	0.1918
AFp2	0.1287	0.9748	0.1821
AFp2h	0.0647	0.9793	0.1918
AFp3	-0.2511	0.9572	0.1438
AFp3h	-0.1911	0.9674	0.1661
AFp4	0.2511	0.9572	0.1438
AFp4h	0.1911	0.9674	0.1661
AFp5	-0.3613	0.9288	0.0821
AFp5h	-0.3081	0.9443	0.1158
AFp6	0.3613	0.9288	0.0821
AFp6h	0.3081	0.9443	0.1158
AFp7	-0.4540	0.8910	0.0000
AFp7h	-0.4102	0.9110	0.0434
AFp8	0.4540	0.8910	0.0000
AFp8h	0.4102	0.9110	0.0434
AFp9	-0.4233	0.8309	-0.3612
AFp9h	-0.4463	0.8759	-0.1837
AFpz	0.0000	0.9808	0.1951
AFz	0.0000	0.9239	0.3827
C1	-0.3784	0.0000	0.9257
C1h	-0.1928	0.0000	0.9812
C2	0.3784	0.0000	0.9257
C2h	0.1928	0.0000	0.9812
C3	-0.7005	0.0000	0.7136
C3h	-0.5498	0.0000	0.8353
C4	0.7005	0.0000	0.7136
C4h	0.5498	0.0000	0.8353
C5	-0.9185	0.0000	0.3955
C5h	-0.8250	0.0000	0.5652
C6	0.9185	0.0000	0.3955
C6h	0.8250	0.0000	0.5652
CCP1	-0.3766	-0.1922	0.9063
CCP1h	-0.1919	-0.1944	0.9620
CCP2	0.3766	-0.1922	0.9063
CCP2h	0.1919	-0.1944	0.9620
CCP3	-0.6962	-0.1838	0.6939
CCP3h	-0.5468	-0.1886	0.8157
CCP4	0.6962	-0.1838	0.6939
CCP4h	0.5468	-0.1886	0.8157
CCP5	-0.9108	-0.1712	0.3758
CCP5h	-0.8191	-0.1779	0.5454
CCP6	0.9108	-0.1712	0.3758
CCP6h	0.8191	-0.1779	0.5454
CCPz	0.0000	-0.1951	0.9808
CP1	-0.3584	-0.3771	0.8540
CP1h	-0.1826	-0.3813	0.9063
CP2	0.3584	-0.3771	0.8540
CP2h	0.1826	-0.3813	0.9063
CP3	-0.6640	-0.3612	0.6547
CP3h	-0.5209	-0.3704	0.7691
CP4	0.6640	-0.3612	0.6547
CP4h	0.5209	-0.3704	0.7691
CP5	-0.8718	-0.3373	0.3553
CP5h	-0.7824	-0.3501	0.5151
CP6	0.8718	-0.3373	0.3553
CP6h	0.7824	-0.3501	0.5151
CPP1	-0.3289	-0.5480	0.7691
CPP1h	-0.1674	-0.5537	0.8157
CPP2	0.3289	-0.5480	0.7691
CPP2h	0.1674	-0.5537	0.8157
CPP3	-0.6115	-0.5262	0.5910
CPP3h	-0.4786	-0.5387	0.6933
CPP4	0.6115	-0.5262	0.5910
CPP4h	0.4786	-0.5387	0.6933
CPP5	-0.8081	-0.4933	0.3220
CPP5h	-0.7226	-0.5109	0.4657
CPP6	0.8081	-0.4933	0.3220
CPP6h	0.7226	-0.5109	0.4657
CPPz	0.0000	-0.5556	0.8315
CPz	0.0000	-0.3827	0.9239
Cz	0.0000	0.0000	1.0000
F1	-0.2891	0.6983	0.6549
F10	0.7544	0.5481	-0.3612
F10h	0.7953	0.5778	-0.1837
F1h	-0.1469	0.7049	0.6939
F2	0.2891	0.6983	0.6549
F2h	0.1469	0.7049	0.6939
F3	-0.5405	0.6730	0.5049
F3h	-0.4217	0.6875	0.5911
F4	0.5405	0.6730	0.5049
F4h	0.4217	0.6875	0.5911
F5	-0.7217	0.6345	0.2767
F5h	-0.6416	0.6551	0.3989
F6	0.7217	0.6345	0.2767
F6h	0.6416	0.6551	0.3989
F7	-0.8090	0.5878	0.0000
F7h	-0.7781	0.6118	0.1423
F8	0.8090	0.5878	0.0000
F8h	0.7781	0.6118	0.1423
F9	-0.7544	0.5481	-0.3612
F9h	-0.7953	0.5778	-0.1837
FC1	-0.3584	0.3771	0.8540
FC1h	-0.1826	0.3813	0.9063
FC2	0.3584	0.3771	0.8540
FC2h	0.1826	0.3813	0.9063
FC3	-0.6640	0.3612	0.6547
FC3h	-0.5209	0.3704	0.7691
FC4	0.6640	0.3612	0.6547
FC4h	0.5209	0.3704	0.7691
FC5	-0.8718	0.3373	0.3553
FC5h	-0.7824	0.3501	0.5151
FC6	0.8718	0.3373	0.3553
FC6h	0.7824	0.3501	0.5151
FCC1	-0.3766	0.1922	0.9063
FCC1h	-0.1919	0.1944	0.9620
FCC2	0.3766	0.1922	0.9063
FCC2h	0.1919	0.1944	0.9620
FCC3	-0.6962	0.1838	0.6939
FCC3h	-0.5468	0.1886	0.8157
FCC4	0.6962	0.1838	0.6939
FCC4h	0.5468	0.1886	0.8157
FCC5	-0.9108	0.1712	0.3758
FCC5h	-0.8191	0.1779	0.5454
FCC6	0.9108	0.1712	0.3758
FCC6h	0.8191	0.1779	0.5454
FCCz	0.0000	0.1951	0.9808
FCz	0.0000	0.3827	0.9239
FFC1	-0.3289	0.5480	0.7691
FFC1h	-0.1674	0.5537	0.8157
FFC2	0.3289	0.5480	0.7691
FFC2h	0.1674	0.5537	0.8157
FFC3	-0.6115	0.5262	0.5910
FFC3h	-0.4786	0.5387	0.6933
FFC4	0.6115	0.5262	0.5910
FFC4h	0.4786	0.5387	0.6933
FFC5	-0.8081	0.4933	0.3220
FFC5h	-0.7226	0.5109	0.4657
FFC6	0.8081	0.4933	0.3220
FFC6h	0.7226	0.5109	0.4657
FFCz	0.0000	0.5556	0.8315
FFT10	0.8309	0.4233	-0.3612
FFT10h	0.8759	0.4463	-0.1837
FFT7	-0.8910	0.4540	0.0000
FFT7h	-0.8649	0.4741	0.1649
FFT8	0.8910	0.4540	0.0000
FFT8h	0.8649	0.4741	0.1649
FFT9	-0.8309	0.4233	-0.3612
FFT9h	-0.8759	0.4463	-0.1837
FT10	0.8869	0.2882	-0.3612
FT10h	0.9349	0.3038	-0.1837
FT7	-0.9511	0.3090	0.0000
FT7h	-0.9287	0.3235	0.1815
FT8	0.9511	0.3090	0.0000
FT8h	0.9287	0.3235	0.1815
FT9	-0.8869	0.2882	-0.3612
FT9h	-0.9349	0.3038	-0.1837
FTT10	0.9210	0.1459	-0.3612
FTT10h	0.9709	0.1538	-0.1837
FTT7	-0.9877	0.1564	0.0000
FTT7h	-0.9677	0.1640	0.1917
FTT8	0.9877	0.1564	0.0000
FTT8h	0.9677	0.1640	0.1917
FTT9	-0.9210	0.1459	-0.3612
FTT9h	-0.9709	0.1538	-0.1837
Fp1	-0.3090	0.9511	0.0000
Fp1h	-0.1564	0.9877	0.0000
Fp2	0.3090	0.9511	0.0000
Fp2h	0.1564	0.9877	0.0000
Fpz	0.0000	1.0000	0.0000
Fz	0.0000	0.7071	0.7071
I1	-0.2882	-0.8869	-0.3612
I1h	-0.1459	-0.9210	-0.3612
I2	0.2882	-0.8869	-0.3612
I2h	0.1459	-0.9210	-0.3612
Iz	0.0000	-0.9325	-0.3612
LPA	-0.9325	-0.0000	-0.3612
N1	-0.2882	0.8869	-0.3612
N1h	-0.1459	0.9210	-0.3612
N2	0.2882	0.8869	-0.3612
N2h	0.1459	0.9210	-0.3612
NAS	-0.0000	0.9325	-0.3612
NFp1	-0.3038	0.9349	-0.1837
NFp1h	-0.1538	0.9709	-0.1837
NFp2	0.3038	0.9349	-0.1837
NFp2h	0.1538	0.9709	-0.1837
NFpz	-0.0000	0.9830	-0.1837
Nz	-0.0000	0.9325	-0.3612
O1	-0.3090	-0.9511	0.0000
O1h	-0.1564	-0.9877	0.0000
O2	0.3090	-0.9511	0.0000
O2h	0.1564	-0.9877	0.0000
OI1	-0.3038	-0.9349	-0.1837
OI1h	-0.1538	-0.9709	-0.1837
OI2	0.3038	-0.9349	-0.1837
OI2h	0.1538	-0.9709	-0.1837
OIz	0.0000	-0.9830	-0.1837
Oz	0.0000	-1.0000	0.0000
P1	-0.2891	-0.6983	0.6549
P10	0.7544	-0.5481	-0.3612
P10h	0.7953	-0.5778	-0.1837
P1h	-0.1469	-0.7049	0.6939
P2	0.2891	-0.6983	0.6549
P2h	0.1469	-0.7049	0.6939
P3	-0.5405	-0.6730	0.5049
P3h	-0.4217	-0.6875	0.5911
P4	0.5405	-0.6730	0.5049
P4h	0.4217	-0.6875	0.5911
P5	-0.7217	-0.6345	0.2767
P5h	-0.6416	-0.6551	0.3989
P6	0.7217	-0.6345	0.2767
P6h	0.6416	-0.6551	0.3989
P7	-0.8090	-0.5878	0.0000
P7h	-0.7781	-0.6118	0.1423
P8	0.8090	-0.5878	0.0000
P8h	0.7781	-0.6118	0.1423
P9	-0.7544	-0.5481	-0.3612
P9h	-0.7953	-0.5778	-0.1837
PO1	-0.1859	-0.9158	0.3559
PO10	0.5481	-0.7544	-0.3612
PO10h	0.5778	-0.7953	-0.1837
PO1h	-0.0940	-0.9219	0.3759
PO2	0.1859	-0.9158	0.3559
PO2h	0.0940	-0.9219	0.3759
PO3	-0.3554	-0.8924	0.2779
PO3h	-0.2737	-0.9060	0.3230
PO4	0.3554	-0.8924	0.2779
PO4h	0.2737	-0.9060	0.3230
PO5	-0.4934	-0.8557	0.1557
PO5h	-0.4292	-0.8756	0.2218
PO6	0.4934	-0.8557	0.1557
PO6h	0.4292	-0.8756	0.2218
PO7	-0.5878	-0.8090	0.0000
PO7h	-0.5467	-0.8334	0.0812
PO8	0.5878	-0.8090	0.0000
PO8h	0.5467	-0.8334	0.0812
PO9	-0.5481	-0.7544	-0.3612
PO9h	-0.5778	-0.7953	-0.1837
POO1	-0.1287	-0.9748	0.1821
POO10	0.4233	-0.8309	-0.3612
POO10h	0.4463	-0.8759	-0.1837
POO1h	-0.0647	-0.9793	0.1918
POO2	0.1287	-0.9748	0.1821
POO2h	0.0647	-0.9793	0.1918
POO3	-0.2511	-0.9572	0.1438
POO3h	-0.1911	-0.9674	0.1661
POO4	0.2511	-0.9572	0.1438
POO4h	0.1911	-0.9674	0.1661
POO5	-0.3613	-0.9288	0.0821
POO5h	-0.3081	-0.9443	0.1158
POO6	0.3613	-0.9288	0.0821
POO6h	0.3081	-0.9443	0.1158
POO7	-0.4540	-0.8910	0.0000
POO7h	-0.4102	-0.9110	0.0434
POO8	0.4540	-0.8910	0.0000
POO8h	0.4102	-0.9110	0.0434
POO9	-0.4233	-0.8309	-0.3612
POO9h	-0.4463	-0.8759	-0.1837
POOz	0.0000	-0.9808	0.1951
POz	0.0000	-0.9239	0.3827
PPO1	-0.2406	-0.8225	0.5154
PPO10	0.6594	-0.6594	-0.3612
PPO10h	0.6951	-0.6951	-0.1837
PPO1h	-0.1221	-0.8292	0.5454
PPO2	0.2406	-0.8225	0.5154
PPO2h	0.1221	-0.8292	0.5454
PPO3	-0.4539	-0.7965	0.3994
PPO3h	-0.3523	-0.8115	0.4662
PPO4	0.4539	-0.7965	0.3994
PPO4h	0.3523	-0.8115	0.4662
PPO5	-0.6155	-0.7565	0.2208
PPO5h	-0.5425	-0.7780	0.3168
PPO6	0.6155	-0.7565	0.2208
PPO6h	0.5425	-0.7780	0.3168
PPO7	-0.7071	-0.7071	0.0000
PPO7h	-0.6709	-0.7327	0.1142
PPO8	0.7071	-0.7071	0.0000
PPO8h	0.6709	-0.7327	0.1142
PPO9	-0.6594	-0.6594	-0.3612
PPO9h	-0.6951	-0.6951	-0.1837
PPOz	0.0000	-0.8315	0.5556
Pz	0.0000	-0.7071	0.7071
RPA	0.9325	0.0000	-0.3612
T10	0.9325	0.0000	-0.3612
T10h	0.9830	0.0000	-0.1837
T7	-1.0000	0.0000	0.0000
T7h	-0.9775	0.0000	0.2110
T8	1.0000	0.0000	0.0000
T8h	0.9775	-0.0000	0.2110
T9	-0.9325	-0.0000	-0.3612
T9h	-0.9830	-0.0000	-0.1837
TP10	0.8869	-0.2882	-0.3612
TP10h	0.9349	-0.3038	-0.1837
TP7	-0.9511	-0.3090	0.0000
TP7h	-0.9287	-0.3235	0.1815
TP8	0.9511	-0.3090	0.0000
TP8h	0.9287	-0.3235	0.1815
TP9	-0.8869	-0.2882	-0.3612
TP9h	-0.9349	-0.3038	-0.1837
TPP10	0.8309	-0.4233	-0.3612
TPP10h	0.8759	-0.4463	-0.1837
TPP7	-0.8910	-0.4540	0.0000
TPP7h	-0.8649	-0.4741	0.1649
TPP8	0.8910	-0.4540	0.0000
TPP8h	0.8649	-0.4741	0.1649
TPP9	-0.8309	-0.4233	-0.3612
TPP9h	-0.8759	-0.4463	-0.1837
TTP10	0.9210	-0.1459	-0.3612
TTP10h	0.9709	-0.1538	-0.1837
TTP7	-0.9877	-0.1564	0.0000
TTP7h	-0.9677	-0.1640	0.1917
TTP8	0.9877	-0.1564	0.0000
TTP8h	0.9677	-0.1640	0.1917
TTP9	-0.9210	-0.1459	-0.3612
TTP9h	-0.9709	-0.1538	-0.1837
